Affinity  , Usage     , #elements , time                
1         , 1.000000  , 4096      , 134.227783          
1         , 1.000000  , 4096      , 135.604248          
1         , 1.000000  , 4096      , 133.989014          
1         , 1.000000  , 4096      , 132.152832          
1         , 1.000000  , 4096      , 136.666016          
1         , 1.000000  , 4096      , 133.904053          
1         , 1.000000  , 4096      , 141.843018          
1         , 1.000000  , 4096      , 140.402832          
1         , 1.000000  , 4096      , 134.306885          
1         , 1.000000  , 4096      , 146.402100          
1         , 1.000000  , 4096      , 143.106934          
1         , 1.000000  , 4096      , 144.065918          
1         , 1.000000  , 4096      , 138.420898          
1         , 1.000000  , 4096      , 136.615967          
1         , 1.000000  , 4096      , 139.149170          
1         , 1.000000  , 4096      , 138.307861          
1         , 1.000000  , 4096      , 135.429932          
1         , 1.000000  , 4096      , 139.459229          
1         , 1.000000  , 4096      , 139.081299          
1         , 1.000000  , 4096      , 132.840088          
1         , 1.000000  , 4096      , 133.297119          
1         , 1.000000  , 4096      , 136.495117          
1         , 1.000000  , 4096      , 140.395752          
1         , 1.000000  , 4096      , 137.661865          
1         , 1.000000  , 4096      , 139.393066          
2         , 1.000000  , 4096      , 170.318115          
2         , 1.000000  , 4096      , 181.203125          
2         , 1.000000  , 4096      , 182.730225          
2         , 1.000000  , 4096      , 173.966064          
2         , 1.000000  , 4096      , 176.517090          
2         , 1.000000  , 4096      , 177.928467          
2         , 1.000000  , 4096      , 173.491211          
2         , 1.000000  , 4096      , 199.698242          
2         , 1.000000  , 4096      , 177.074219          
2         , 1.000000  , 4096      , 178.458984          
2         , 1.000000  , 4096      , 178.200928          
2         , 1.000000  , 4096      , 181.066650          
2         , 1.000000  , 4096      , 176.681885          
2         , 1.000000  , 4096      , 174.522705          
2         , 1.000000  , 4096      , 174.902100          
2         , 1.000000  , 4096      , 179.017090          
2         , 1.000000  , 4096      , 172.393066          
2         , 1.000000  , 4096      , 172.252197          
2         , 1.000000  , 4096      , 177.708252          
2         , 1.000000  , 4096      , 179.364258          
2         , 1.000000  , 4096      , 175.120850          
2         , 1.000000  , 4096      , 176.470947          
2         , 1.000000  , 4096      , 177.833496          
2         , 1.000000  , 4096      , 167.020996          
2         , 1.000000  , 4096      , 182.904297          
3         , 1.000000  , 4096      , 235.227295          
3         , 1.000000  , 4096      , 229.997070          
3         , 1.000000  , 4096      , 237.836914          
3         , 1.000000  , 4096      , 235.489014          
3         , 1.000000  , 4096      , 236.774902          
3         , 1.000000  , 4096      , 232.664307          
3         , 1.000000  , 4096      , 232.766602          
3         , 1.000000  , 4096      , 239.627197          
3         , 1.000000  , 4096      , 234.788818          
3         , 1.000000  , 4096      , 238.290039          
3         , 1.000000  , 4096      , 242.972900          
3         , 1.000000  , 4096      , 233.635254          
3         , 1.000000  , 4096      , 237.062744          
3         , 1.000000  , 4096      , 235.114014          
3         , 1.000000  , 4096      , 235.543701          
3         , 1.000000  , 4096      , 234.945312          
3         , 1.000000  , 4096      , 234.761963          
3         , 1.000000  , 4096      , 234.626709          
3         , 1.000000  , 4096      , 227.354736          
3         , 1.000000  , 4096      , 235.528076          
3         , 1.000000  , 4096      , 232.477051          
3         , 1.000000  , 4096      , 227.933105          
3         , 1.000000  , 4096      , 236.657227          
3         , 1.000000  , 4096      , 239.091309          
3         , 1.000000  , 4096      , 237.021973          
4         , 1.000000  , 4096      , 313.088135          
4         , 1.000000  , 4096      , 312.294922          
4         , 1.000000  , 4096      , 314.570068          
4         , 1.000000  , 4096      , 316.068115          
4         , 1.000000  , 4096      , 319.947998          
4         , 1.000000  , 4096      , 315.208984          
4         , 1.000000  , 4096      , 312.162109          
4         , 1.000000  , 4096      , 321.265869          
4         , 1.000000  , 4096      , 314.515381          
4         , 1.000000  , 4096      , 318.123047          
4         , 1.000000  , 4096      , 310.554199          
4         , 1.000000  , 4096      , 321.860107          
4         , 1.000000  , 4096      , 313.494141          
4         , 1.000000  , 4096      , 311.607910          
4         , 1.000000  , 4096      , 317.327881          
4         , 1.000000  , 4096      , 320.392090          
4         , 1.000000  , 4096      , 315.614014          
4         , 1.000000  , 4096      , 314.530029          
4         , 1.000000  , 4096      , 318.172119          
4         , 1.000000  , 4096      , 314.870850          
4         , 1.000000  , 4096      , 317.772949          
4         , 1.000000  , 4096      , 327.707031          
4         , 1.000000  , 4096      , 316.987305          
4         , 1.000000  , 4096      , 316.868896          
4         , 1.000000  , 4096      , 321.336182          
1         , 1.000000  , 8192      , 206.228027          
1         , 1.000000  , 8192      , 206.726074          
1         , 1.000000  , 8192      , 198.250000          
1         , 1.000000  , 8192      , 209.346924          
1         , 1.000000  , 8192      , 204.336914          
1         , 1.000000  , 8192      , 205.998291          
1         , 1.000000  , 8192      , 198.219971          
1         , 1.000000  , 8192      , 207.875244          
1         , 1.000000  , 8192      , 202.705811          
1         , 1.000000  , 8192      , 208.987305          
1         , 1.000000  , 8192      , 201.320068          
1         , 1.000000  , 8192      , 201.926025          
1         , 1.000000  , 8192      , 207.759033          
1         , 1.000000  , 8192      , 200.618652          
1         , 1.000000  , 8192      , 200.048096          
1         , 1.000000  , 8192      , 201.686035          
1         , 1.000000  , 8192      , 210.852051          
1         , 1.000000  , 8192      , 211.149902          
1         , 1.000000  , 8192      , 202.998047          
1         , 1.000000  , 8192      , 204.095947          
1         , 1.000000  , 8192      , 203.097900          
1         , 1.000000  , 8192      , 202.044922          
1         , 1.000000  , 8192      , 207.792236          
1         , 1.000000  , 8192      , 203.589844          
1         , 1.000000  , 8192      , 202.885254          
2         , 1.000000  , 8192      , 205.229004          
2         , 1.000000  , 8192      , 199.837891          
2         , 1.000000  , 8192      , 210.210938          
2         , 1.000000  , 8192      , 204.904053          
2         , 1.000000  , 8192      , 208.263916          
2         , 1.000000  , 8192      , 200.817139          
2         , 1.000000  , 8192      , 211.411377          
2         , 1.000000  , 8192      , 202.674072          
2         , 1.000000  , 8192      , 201.188232          
2         , 1.000000  , 8192      , 210.963867          
2         , 1.000000  , 8192      , 213.982666          
2         , 1.000000  , 8192      , 203.880127          
2         , 1.000000  , 8192      , 211.578857          
2         , 1.000000  , 8192      , 200.378906          
2         , 1.000000  , 8192      , 206.253906          
2         , 1.000000  , 8192      , 198.194336          
2         , 1.000000  , 8192      , 204.399170          
2         , 1.000000  , 8192      , 204.822754          
2         , 1.000000  , 8192      , 202.934814          
2         , 1.000000  , 8192      , 201.190918          
2         , 1.000000  , 8192      , 208.174072          
2         , 1.000000  , 8192      , 203.470947          
2         , 1.000000  , 8192      , 205.813965          
2         , 1.000000  , 8192      , 200.675049          
2         , 1.000000  , 8192      , 211.620117          
3         , 1.000000  , 8192      , 267.180908          
3         , 1.000000  , 8192      , 260.878906          
3         , 1.000000  , 8192      , 260.539062          
3         , 1.000000  , 8192      , 262.543945          
3         , 1.000000  , 8192      , 256.882080          
3         , 1.000000  , 8192      , 256.120850          
