#threads  , # nodes   , time                
24        , 8388608   , 185.108887          
24        , 8388608   , 176.555176          
24        , 8388608   , 183.423828          
24        , 8388608   , 175.675781          
24        , 8388608   , 185.254150          
24        , 8388608   , 171.196777          
24        , 8388608   , 165.519043          
24        , 8388608   , 180.154053          
24        , 8388608   , 176.297852          
24        , 8388608   , 185.619141          
24        , 8388608   , 175.268799          
24        , 8388608   , 174.750977          
24        , 8388608   , 166.909912          
24        , 8388608   , 173.250000          
24        , 8388608   , 168.049072          
24        , 8388608   , 173.559082          
24        , 8388608   , 179.270020          
24        , 8388608   , 175.250977          
24        , 8388608   , 175.806885          
24        , 16777216  , 399.384033          
24        , 16777216  , 397.438721          
24        , 16777216  , 406.052002          
24        , 16777216  , 385.079834          
24        , 16777216  , 394.270996          
24        , 16777216  , 405.271973          
24        , 16777216  , 395.980225          
24        , 16777216  , 392.938965          
24        , 16777216  , 397.228027          
24        , 16777216  , 384.439941          
24        , 16777216  , 413.962646          
24        , 16777216  , 347.364014          
24        , 16777216  , 386.050049          
24        , 16777216  , 391.832031          
24        , 16777216  , 391.575928          
24        , 16777216  , 414.112061          
24        , 16777216  , 409.901855          
24        , 16777216  , 406.737061          
24        , 16777216  , 384.642822          
24        , 16777216  , 348.651855          
24        , 16777216  , 390.560059          
24        , 16777216  , 403.291992          
24        , 16777216  , 398.733887          
24        , 16777216  , 397.084961          
24        , 16777216  , 413.002930          
