Affinity  , # nodes   , time                
4         , 2048      , 38.450195           
4         , 2048      , 35.822998           
4         , 2048      , 36.087891           
4         , 2048      , 37.788818           
4         , 2048      , 38.089111           
4         , 2048      , 38.281982           
4         , 2048      , 36.624756           
4         , 2048      , 36.466309           
4         , 2048      , 37.927246           
4         , 2048      , 38.257812           
4         , 2048      , 37.648926           
4         , 2048      , 39.450928           
4         , 2048      , 39.747070           
4         , 2048      , 37.078125           
4         , 2048      , 38.368896           
1         , 131072    , 15.840820           
1         , 131072    , 16.134033           
1         , 131072    , 15.129883           
1         , 131072    , 16.329102           
1         , 131072    , 16.463135           
1         , 131072    , 16.363037           
1         , 131072    , 16.593994           
1         , 131072    , 16.093994           
1         , 131072    , 15.753906           
1         , 131072    , 16.125000           
1         , 131072    , 16.018066           
1         , 131072    , 15.597900           
1         , 131072    , 16.161133           
1         , 131072    , 15.899170           
1         , 131072    , 15.638184           
1         , 131072    , 16.155029           
1         , 131072    , 16.702148           
1         , 131072    , 16.318115           
1         , 131072    , 17.066895           
1         , 131072    , 15.773193           
1         , 131072    , 16.230225           
1         , 131072    , 16.812988           
1         , 131072    , 16.416992           
1         , 131072    , 15.841797           
1         , 131072    , 17.222900           
2         , 131072    , 28.270020           
2         , 131072    , 29.742920           
2         , 131072    , 30.160889           
2         , 131072    , 28.064941           
2         , 131072    , 29.211914           
2         , 131072    , 28.291992           
2         , 131072    , 27.474121           
2         , 131072    , 30.476318           
2         , 131072    , 27.673828           
2         , 131072    , 28.843994           
2         , 131072    , 28.129150           
2         , 131072    , 28.257812           
2         , 131072    , 29.178223           
2         , 131072    , 28.626953           
2         , 131072    , 27.156982           
2         , 131072    , 28.530029           
2         , 131072    , 28.315918           
2         , 131072    , 32.005127           
2         , 131072    , 27.841064           
2         , 131072    , 26.596191           
2         , 131072    , 27.397949           
2         , 131072    , 27.799072           
2         , 131072    , 28.169189           
2         , 131072    , 27.086914           
2         , 131072    , 28.695068           
3         , 131072    , 41.611816           
3         , 131072    , 43.489990           
3         , 131072    , 42.490967           
3         , 131072    , 43.417969           
3         , 131072    , 43.031006           
3         , 131072    , 42.288086           
3         , 131072    , 41.245850           
3         , 131072    , 42.773926           
3         , 131072    , 41.346924           
3         , 131072    , 41.167969           
3         , 131072    , 41.868164           
3         , 131072    , 40.843018           
3         , 131072    , 38.667969           
3         , 131072    , 43.300781           
3         , 131072    , 42.850098           
3         , 131072    , 46.427002           
3         , 131072    , 44.286133           
3         , 131072    , 43.652100           
3         , 131072    , 45.370850           
3         , 131072    , 45.385010           
