Size N    , Utilization U       , Affinity A, BlockNum B, ThreadsNum T        , Random X  , time (ms)           
32        , 1.000000            , 1         , 5         , 32                  , 1         , 4.225134            
32        , 1.000000            , 1         , 5         , 32                  , 1         , 3.652155            
32        , 1.000000            , 1         , 5         , 32                  , 1         , 4.459265            
32        , 1.000000            , 1         , 5         , 32                  , 1         , 4.893095            
32        , 1.000000            , 1         , 5         , 32                  , 1         , 4.210064            
32        , 1.000000            , 1         , 5         , 32                  , 1         , 4.682959            
32        , 1.000000            , 1         , 5         , 32                  , 1         , 4.516731            
32        , 1.000000            , 1         , 5         , 32                  , 1         , 4.336090            
32        , 1.000000            , 1         , 6         , 32                  , 1         , 5.210173            
32        , 1.000000            , 1         , 6         , 32                  , 1         , 4.657024            
32        , 1.000000            , 1         , 6         , 32                  , 1         , 5.054022            
32        , 1.000000            , 1         , 6         , 32                  , 1         , 5.066256            
32        , 1.000000            , 1         , 6         , 32                  , 1         , 4.972912            
32        , 1.000000            , 1         , 6         , 32                  , 1         , 5.542971            
32        , 1.000000            , 1         , 6         , 32                  , 1         , 5.010881            
32        , 1.000000            , 1         , 6         , 32                  , 1         , 5.235825            
32        , 1.000000            , 1         , 6         , 32                  , 1         , 4.743124            
32        , 1.000000            , 1         , 6         , 32                  , 1         , 5.334978            
32        , 1.000000            , 1         , 6         , 32                  , 1         , 4.793259            
32        , 1.000000            , 1         , 6         , 32                  , 1         , 4.857157            
32        , 1.000000            , 1         , 6         , 32                  , 1         , 4.982849            
32        , 1.000000            , 1         , 6         , 32                  , 1         , 4.671047            
32        , 1.000000            , 1         , 6         , 32                  , 1         , 4.827868            
32        , 1.000000            , 1         , 6         , 32                  , 1         , 4.403978            
32        , 1.000000            , 1         , 6         , 32                  , 1         , 4.448187            
32        , 1.000000            , 1         , 6         , 32                  , 1         , 4.291162            
32        , 1.000000            , 1         , 6         , 32                  , 1         , 4.641937            
32        , 1.000000            , 1         , 6         , 32                  , 1         , 4.499950            
32        , 1.000000            , 1         , 7         , 32                  , 1         , 6.016054            
32        , 1.000000            , 1         , 7         , 32                  , 1         , 5.501978            
32        , 1.000000            , 1         , 7         , 32                  , 1         , 6.214796            
32        , 1.000000            , 1         , 7         , 32                  , 1         , 5.316128            
32        , 1.000000            , 1         , 7         , 32                  , 1         , 4.957001            
32        , 1.000000            , 1         , 7         , 32                  , 1         , 5.796804            
32        , 1.000000            , 1         , 7         , 32                  , 1         , 6.083128            
32        , 1.000000            , 1         , 7         , 32                  , 1         , 5.739073            
32        , 1.000000            , 1         , 7         , 32                  , 1         , 5.563980            
32        , 1.000000            , 1         , 7         , 32                  , 1         , 6.075769            
32        , 1.000000            , 1         , 7         , 32                  , 1         , 5.465887            
32        , 1.000000            , 1         , 7         , 32                  , 1         , 5.825136            
32        , 1.000000            , 1         , 7         , 32                  , 1         , 6.411081            
32        , 1.000000            , 1         , 7         , 32                  , 1         , 6.328955            
32        , 1.000000            , 1         , 7         , 32                  , 1         , 5.955996            
