Size N    , Utilization U       , Affinity A, BlockNum B, ThreadsNum T        , Random X  , time (ms)           
32        , 1.000000            , 1         , 5         , 32                  , 1         , 9.492920            
32        , 1.000000            , 1         , 5         , 32                  , 1         , 9.403809            
32        , 1.000000            , 1         , 5         , 32                  , 1         , 8.770020            
32        , 1.000000            , 1         , 5         , 32                  , 1         , 10.784912           
32        , 1.000000            , 1         , 5         , 32                  , 1         , 9.302979            
32        , 1.000000            , 1         , 5         , 32                  , 1         , 9.257812            
32        , 1.000000            , 1         , 5         , 32                  , 1         , 12.342773           
32        , 1.000000            , 1         , 5         , 32                  , 1         , 19.215088           
32        , 1.000000            , 1         , 6         , 32                  , 1         , 10.978760           
32        , 1.000000            , 1         , 6         , 32                  , 1         , 12.387939           
32        , 1.000000            , 1         , 6         , 32                  , 1         , 24.532959           
32        , 1.000000            , 1         , 6         , 32                  , 1         , 27.763916           
32        , 1.000000            , 1         , 6         , 32                  , 1         , 28.241943           
32        , 1.000000            , 1         , 6         , 32                  , 1         , 26.304932           
32        , 1.000000            , 1         , 6         , 32                  , 1         , 24.966064           
32        , 1.000000            , 1         , 6         , 32                  , 1         , 14.735107           
32        , 1.000000            , 1         , 6         , 32                  , 1         , 13.489014           
32        , 1.000000            , 1         , 6         , 32                  , 1         , 22.724121           
32        , 1.000000            , 1         , 6         , 32                  , 1         , 13.701904           
32        , 1.000000            , 1         , 6         , 32                  , 1         , 12.972900           
32        , 1.000000            , 1         , 6         , 32                  , 1         , 9.798096            
32        , 1.000000            , 1         , 6         , 32                  , 1         , 21.729004           
32        , 1.000000            , 1         , 6         , 32                  , 1         , 12.361816           
32        , 1.000000            , 1         , 6         , 32                  , 1         , 12.986328           
32        , 1.000000            , 1         , 6         , 32                  , 1         , 10.775146           
32        , 1.000000            , 1         , 6         , 32                  , 1         , 9.827881            
32        , 1.000000            , 1         , 6         , 32                  , 1         , 9.823730            
32        , 1.000000            , 1         , 6         , 32                  , 1         , 13.136963           
32        , 1.000000            , 1         , 7         , 32                  , 1         , 12.447021           
32        , 1.000000            , 1         , 7         , 32                  , 1         , 10.397949           
32        , 1.000000            , 1         , 7         , 32                  , 1         , 15.758057           
32        , 1.000000            , 1         , 7         , 32                  , 1         , 14.909180           
32        , 1.000000            , 1         , 7         , 32                  , 1         , 11.600098           
32        , 1.000000            , 1         , 7         , 32                  , 1         , 17.442139           
32        , 1.000000            , 1         , 7         , 32                  , 1         , 17.529785           
32        , 1.000000            , 1         , 7         , 32                  , 1         , 11.248047           
32        , 1.000000            , 1         , 7         , 32                  , 1         , 13.554688           
32        , 1.000000            , 1         , 7         , 32                  , 1         , 16.251953           
32        , 1.000000            , 1         , 7         , 32                  , 1         , 28.790039           
32        , 1.000000            , 1         , 7         , 32                  , 1         , 26.765869           
32        , 1.000000            , 1         , 7         , 32                  , 1         , 14.746094           
32        , 1.000000            , 1         , 7         , 32                  , 1         , 18.751221           
32        , 1.000000            , 1         , 7         , 32                  , 1         , 14.927002           
32        , 1.000000            , 1         , 7         , 32                  , 1         , 13.951904           
32        , 1.000000            , 1         , 7         , 32                  , 1         , 16.655029           
32        , 1.000000            , 1         , 7         , 32                  , 1         , 18.148926           
32        , 1.000000            , 1         , 7         , 32                  , 1         , 13.262939           
32        , 1.000000            , 1         , 7         , 32                  , 1         , 14.461914           
32        , 1.000000            , 1         , 8         , 32                  , 1         , 15.091064           
32        , 1.000000            , 1         , 8         , 32                  , 1         , 18.923096           
32        , 1.000000            , 1         , 8         , 32                  , 1         , 15.654053           
32        , 1.000000            , 1         , 8         , 32                  , 1         , 12.868164           
32        , 1.000000            , 1         , 8         , 32                  , 1         , 14.628906           
32        , 1.000000            , 1         , 8         , 32                  , 1         , 16.602051           
32        , 1.000000            , 1         , 8         , 32                  , 1         , 15.444092           
32        , 1.000000            , 1         , 8         , 32                  , 1         , 12.614014           
32        , 1.000000            , 1         , 8         , 32                  , 1         , 17.783936           
32        , 1.000000            , 1         , 8         , 32                  , 1         , 27.698975           
32        , 1.000000            , 1         , 8         , 32                  , 1         , 13.008057           
32        , 1.000000            , 1         , 8         , 32                  , 1         , 15.576904           
32        , 1.000000            , 1         , 8         , 32                  , 1         , 15.698242           
32        , 1.000000            , 1         , 8         , 32                  , 1         , 15.977783           
32        , 1.000000            , 1         , 8         , 32                  , 1         , 12.530029           
32        , 1.000000            , 1         , 8         , 32                  , 1         , 15.449219           
32        , 1.000000            , 1         , 8         , 32                  , 1         , 18.652100           
32        , 1.000000            , 1         , 8         , 32                  , 1         , 16.493896           
32        , 1.000000            , 1         , 8         , 32                  , 1         , 12.907959           
32        , 1.000000            , 1         , 8         , 32                  , 1         , 14.458008           
32        , 1.000000            , 1         , 9         , 32                  , 1         , 21.165039           
32        , 1.000000            , 1         , 9         , 32                  , 1         , 19.159912           
32        , 1.000000            , 1         , 9         , 32                  , 1         , 21.304688           
32        , 1.000000            , 1         , 9         , 32                  , 1         , 18.924072           
32        , 1.000000            , 1         , 9         , 32                  , 1         , 20.019043           
32        , 1.000000            , 1         , 9         , 32                  , 1         , 20.648926           
32        , 1.000000            , 1         , 9         , 32                  , 1         , 13.652588           
32        , 1.000000            , 1         , 9         , 32                  , 1         , 13.327637           
32        , 1.000000            , 1         , 9         , 32                  , 1         , 13.112061           
32        , 1.000000            , 1         , 9         , 32                  , 1         , 16.553955           
32        , 1.000000            , 1         , 9         , 32                  , 1         , 16.953857           
