64      ,0.071777            
64      ,0.070068            
64      ,0.070068            
64      ,0.068359            
64      ,0.068848            
128     ,0.083740            
128     ,0.082031            
128     ,0.079834            
128     ,0.081787            
128     ,0.083008            
256     ,0.155762            
256     ,0.156006            
256     ,0.156250            
256     ,0.154785            
256     ,0.156738            
512     ,0.388184            
512     ,0.384033            
512     ,0.396973            
512     ,0.385986            
512     ,0.385986            
1024    ,1.351074            
1024    ,1.349854            
1024    ,1.333984            
1024    ,1.342041            
1024    ,1.330078            
2048    ,5.081055            
2048    ,5.081055            
2048    ,5.078857            
2048    ,5.083984            
2048    ,5.149902            
1024    ,0.737793            
1024    ,0.708984            
1024    ,0.694092            
1024    ,0.699951            
1024    ,0.695068            
1024    ,0.697021            
1024    ,0.713867            
1024    ,0.705078            
