# threads , # nodes   , time                
120       , 4194304   , 1298.207031         
120       , 4194304   , 1298.168945         
120       , 4194304   , 1299.354980         
120       , 4194304   , 1292.718994         
120       , 4194304   , 1303.820068         
120       , 4194304   , 1322.222900         
120       , 4194304   , 1317.145996         
120       , 4194304   , 1298.483154         
120       , 4194304   , 1313.673828         
120       , 4194304   , 1309.604980         
120       , 4194304   , 1292.814941         
120       , 4194304   , 1297.444824         
120       , 4194304   , 1285.988037         
120       , 4194304   , 1294.695801         
120       , 4194304   , 1283.057861         
120       , 4194304   , 1297.208984         
120       , 4194304   , 1306.020996         
120       , 4194304   , 1303.308838         
120       , 4194304   , 1311.888916         
120       , 8388608   , 2061.870117         
120       , 8388608   , 2068.599854         
120       , 8388608   , 2071.995850         
120       , 8388608   , 2064.934082         
120       , 8388608   , 2051.712891         
120       , 8388608   , 2064.927979         
120       , 8388608   , 2073.857178         
120       , 8388608   , 2068.246826         
120       , 8388608   , 2075.382080         
120       , 8388608   , 2063.551025         
120       , 8388608   , 2059.599854         
120       , 8388608   , 2058.783936         
120       , 8388608   , 2157.154785         
120       , 8388608   , 2068.822021         
120       , 8388608   , 2073.378906         
120       , 8388608   , 2074.363037         
120       , 8388608   , 2159.742920         
120       , 8388608   , 2060.466064         
120       , 8388608   , 2087.915771         
120       , 8388608   , 2076.295166         
120       , 8388608   , 2065.409912         
120       , 8388608   , 2069.486084         
120       , 8388608   , 2053.426025         
120       , 8388608   , 2051.412842         
120       , 8388608   , 2063.494873         
120       , 16777216  , 3657.920898         
120       , 16777216  , 3761.240967         
120       , 16777216  , 3626.885010         
120       , 16777216  , 3669.537842         
120       , 16777216  , 4316.072998         
120       , 16777216  , 4483.843018         
120       , 16777216  , 4292.677734         
120       , 16777216  , 3589.476074         
120       , 16777216  , 3633.634277         
120       , 16777216  , 4416.707031         
120       , 16777216  , 3704.880859         
120       , 16777216  , 3637.701904         
120       , 16777216  , 3617.401855         
120       , 16777216  , 3596.233154         
120       , 16777216  , 3588.621094         
120       , 16777216  , 3583.434082         
120       , 16777216  , 3672.279053         
120       , 16777216  , 3753.228760         
120       , 16777216  , 3658.543945         
120       , 16777216  , 3696.116211         
120       , 16777216  , 3679.849121         
120       , 16777216  , 3645.235840         
120       , 16777216  , 3667.379150         
120       , 16777216  , 3662.434082         
120       , 16777216  , 3692.510010         
