Affinity  , Usage     , #elements , time                
1         , 1.000000  , 4096      , 644.447021          
1         , 1.000000  , 4096      , 631.476807          
1         , 1.000000  , 4096      , 634.761963          
1         , 1.000000  , 4096      , 1049.336914         
1         , 1.000000  , 4096      , 640.901367          
1         , 1.000000  , 4096      , 640.877930          
1         , 1.000000  , 4096      , 642.697021          
1         , 1.000000  , 4096      , 638.048828          
1         , 1.000000  , 4096      , 1061.239990         
1         , 1.000000  , 4096      , 645.799072          
1         , 1.000000  , 4096      , 1058.455566         
1         , 1.000000  , 4096      , 1065.140137         
1         , 1.000000  , 4096      , 639.925049          
1         , 1.000000  , 4096      , 644.176025          
1         , 1.000000  , 4096      , 1012.447754         
1         , 1.000000  , 4096      , 1057.177979         
1         , 1.000000  , 4096      , 1061.461182         
1         , 1.000000  , 4096      , 639.824951          
1         , 1.000000  , 4096      , 633.602539          
1         , 1.000000  , 4096      , 673.636963          
1         , 1.000000  , 4096      , 633.752930          
1         , 1.000000  , 4096      , 636.396973          
1         , 1.000000  , 4096      , 639.412109          
1         , 1.000000  , 4096      , 1068.872803         
1         , 1.000000  , 4096      , 641.174072          
2         , 1.000000  , 4096      , 373.722900          
2         , 1.000000  , 4096      , 382.386963          
2         , 1.000000  , 4096      , 384.003174          
2         , 1.000000  , 4096      , 386.918701          
2         , 1.000000  , 4096      , 387.202148          
2         , 1.000000  , 4096      , 389.677979          
2         , 1.000000  , 4096      , 384.309814          
2         , 1.000000  , 4096      , 381.895752          
2         , 1.000000  , 4096      , 369.827148          
2         , 1.000000  , 4096      , 381.154053          
2         , 1.000000  , 4096      , 374.839844          
2         , 1.000000  , 4096      , 382.952881          
2         , 1.000000  , 4096      , 390.936035          
2         , 1.000000  , 4096      , 382.712891          
2         , 1.000000  , 4096      , 378.188965          
2         , 1.000000  , 4096      , 373.277100          
2         , 1.000000  , 4096      , 382.849121          
2         , 1.000000  , 4096      , 384.492920          
2         , 1.000000  , 4096      , 385.590576          
2         , 1.000000  , 4096      , 386.013672          
2         , 1.000000  , 4096      , 383.303955          
2         , 1.000000  , 4096      , 382.761230          
2         , 1.000000  , 4096      , 385.798096          
2         , 1.000000  , 4096      , 386.577148          
2         , 1.000000  , 4096      , 381.289795          
3         , 1.000000  , 4096      , 376.237061          
3         , 1.000000  , 4096      , 375.781006          
3         , 1.000000  , 4096      , 374.968994          
3         , 1.000000  , 4096      , 377.979980          
3         , 1.000000  , 4096      , 379.588867          
3         , 1.000000  , 4096      , 372.844482          
3         , 1.000000  , 4096      , 382.552246          
3         , 1.000000  , 4096      , 375.418945          
3         , 1.000000  , 4096      , 385.028809          
3         , 1.000000  , 4096      , 375.291504          
3         , 1.000000  , 4096      , 375.488037          
3         , 1.000000  , 4096      , 376.536865          
3         , 1.000000  , 4096      , 375.286133          
